CustomerID,TransactionID,Transaction Time,ProductID,Cost,Month,Year,Quarter
1001,1ID10051,1/1/2011 9:18,1,14.475,1,2011,1
1004,1ID10054,1/1/2011 11:54,7,25.325,1,2011,1
1012,1ID10062,2/1/2011 11:48,20,19.975,1,2011,1
1012,1ID10062,2/1/2011 11:48,20,19.975,1,2011,1
1013,1ID10063,2/1/2011 11:51,21,14.225,1,2011,1
1016,1ID10066,2/1/2011 12:43,23,15.225,1,2011,1
1016,1ID10066,2/1/2011 12:43,15,13.975,1,2011,1
1016,1ID10066,2/1/2011 12:43,15,13.975,1,2011,1
1016,1ID10066,2/1/2011 12:43,24,13.975,1,2011,1
1017,1ID10067,2/1/2011 13:42,4,18.975,1,2011,1
1018,1ID10068,2/1/2011 13:42,25,25.325,1,2011,1
1018,1ID10068,2/1/2011 13:42,26,25.825,1,2011,1
1019,1ID10069,2/1/2011 17:19,1,14.475,1,2011,1
1019,1ID10069,2/1/2011 17:19,25,18.975,1,2011,1
1550,1ID11921,1/4/2011 11:23,11,20.7,4,2011,2
1550,1ID11921,1/4/2011 11:23,23,19.7,4,2011,2
1550,1ID11921,1/4/2011 11:23,23,19.7,4,2011,2
2335,1ID11922,1/4/2011 12:16,30,13.975,4,2011,2
2335,1ID11922,1/4/2011 12:16,3,4.725,4,2011,2
2335,1ID11922,1/4/2011 12:16,23,13.975,4,2011,2
2336,1ID11923,1/4/2011 12:38,11,14.975,4,2011,2
2336,1ID11923,1/4/2011 12:38,18,14.475,4,2011,2
1506,1ID11934,1/4/2011 17:53,32,3.125,4,2011,2
1506,1ID11934,1/4/2011 17:53,7,28.975,4,2011,2
2158,1ID14049,1/7/2011 12:09,8,14.725,7,2011,3
2158,1ID14049,1/7/2011 12:09,37,20.95,7,2011,3
2158,1ID14049,1/7/2011 12:09,23,20.7,7,2011,3
3470,1ID14054,1/7/2011 15:26,15,14.725,7,2011,3
3134,1ID14055,1/7/2011 16:45,8,14.725,7,2011,3
3134,1ID14055,1/7/2011 16:45,20,27.075,7,2011,3
1635,1ID14063,2/7/2011 10:39,25,19.725,7,2011,3
2398,1ID14064,2/7/2011 10:44,15,14.725,7,2011,3
3474,1ID14066,2/7/2011 11:29,15,14.725,7,2011,3
3475,1ID14067,2/7/2011 14:51,4,19.725,7,2011,3
3475,1ID14067,2/7/2011 14:51,5,20.475,7,2011,3
3475,1ID14067,2/7/2011 14:51,25,19.725,7,2011,3
3476,1ID14070,2/7/2011 18:00,4,19.725,7,2011,3
3476,1ID14070,2/7/2011 18:00,9,14.725,7,2011,3
4281,1ID15976,1/10/2011 12:36,23,14.725,10,2011,4
4281,1ID15976,1/10/2011 12:36,11,15.475,10,2011,4
4281,1ID15976,1/10/2011 12:36,21,14.725,10,2011,4
4384,1ID15983,1/10/2011 19:10,20,20.475,10,2011,4
4384,1ID15983,1/10/2011 19:10,7,19.725,10,2011,4
4391,1ID15996,2/10/2011 11:13,1,14.975,10,2011,4
4392,1ID15997,2/10/2011 11:15,11,15.475,10,2011,4
4392,1ID15997,2/10/2011 11:15,5,20.475,10,2011,4
2398,1ID15999,2/10/2011 11:20,15,14.725,10,2011,4
4249,1ID16000,2/10/2011 11:20,11,15.475,10,2011,4
2546,1ID16001,2/10/2011 11:21,23,21.95,10,2011,4
4393,1ID16002,2/10/2011 11:22,1,20.95,10,2011,4
4397,1ID16007,2/10/2011 14:32,15,21.325,10,2011,4
4397,1ID16007,2/10/2011 14:32,29,1.875,10,2011,4
4411,1ID16024,3/10/2011 11:33,35,19.725,10,2011,4
4412,1ID16025,3/10/2011 11:34,20,20.475,10,2011,4
4413,1ID16026,3/10/2011 11:37,14,25.95,10,2011,4
9070,1ID26246,1/10/2012 9:33,46,10.975,10,2012,4
9070,1ID26246,1/10/2012 9:33,48,124.975,10,2012,4
9070,1ID26246,1/10/2012 9:33,54,0,10,2012,4
9070,1ID26246,1/10/2012 9:33,40,2.725,10,2012,4
8440,1ID26267,1/10/2012 15:34,22,2.975,10,2012,4
8440,1ID26267,1/10/2012 15:34,10,9.975,10,2012,4
8440,1ID26267,1/10/2012 15:34,4,19.725,10,2012,4
8713,1ID26269,1/10/2012 15:48,9,20.7,10,2012,4
9080,1ID26271,1/10/2012 16:29,4,26.325,10,2012,4
5894,1ID26307,2/10/2012 18:14,33,19.975,10,2012,4
5894,1ID26307,2/10/2012 18:14,4,19.725,10,2012,4
7878,1ID26308,2/10/2012 18:24,33,19.975,10,2012,4
7878,1ID26308,2/10/2012 18:24,33,19.975,10,2012,4
7878,1ID26308,2/10/2012 18:24,66,1.25,10,2012,4
7873,1ID23419,1/7/2012 9:48,34,14.725,7,2012,3
7873,1ID23419,1/7/2012 9:48,30,14.725,7,2012,3
7873,1ID23419,1/7/2012 9:48,21,14.725,7,2012,3
7873,1ID23419,1/7/2012 9:48,8,14.725,7,2012,3
7873,1ID23419,1/7/2012 9:48,8,14.725,7,2012,3
7873,1ID23419,1/7/2012 9:48,24,14.725,7,2012,3
7873,1ID23419,1/7/2012 9:48,1,14.975,7,2012,3
7873,1ID23419,1/7/2012 9:48,15,14.725,7,2012,3
7873,1ID23419,1/7/2012 9:48,15,14.725,7,2012,3
7873,1ID23419,1/7/2012 9:48,1,14.975,7,2012,3
7873,1ID23419,1/7/2012 9:48,6,14.725,7,2012,3
7873,1ID23419,1/7/2012 9:48,9,14.725,7,2012,3
4684,1ID23429,1/7/2012 11:35,23,14.725,7,2012,3
4684,1ID23429,1/7/2012 11:35,37,14.975,7,2012,3
4684,1ID23429,1/7/2012 11:35,6,14.725,7,2012,3
2546,1ID20073,1/4/2012 10:24,23,21.95,4,2012,2
4393,1ID20074,1/4/2012 10:32,1,20.95,4,2012,2
6209,1ID20075,1/4/2012 10:44,15,14.725,4,2012,2
2756,1ID20076,1/4/2012 10:48,41,14.725,4,2012,2
6008,1ID20078,1/4/2012 11:02,28,19.725,4,2012,2
6211,1ID20079,1/4/2012 11:03,28,19.725,4,2012,2
6216,1ID20088,1/4/2012 17:33,34,14.725,4,2012,2
6216,1ID20088,1/4/2012 17:33,34,14.725,4,2012,2
6216,1ID20088,1/4/2012 17:33,11,15.475,4,2012,2
6216,1ID20088,1/4/2012 17:33,18,14.975,4,2012,2
6218,1ID20090,1/4/2012 21:19,8,14.725,4,2012,2
6228,1ID20113,2/4/2012 11:06,5,30.475,4,2012,2
6229,1ID20114,2/4/2012 11:08,27,15.475,4,2012,2
6229,1ID20114,2/4/2012 11:08,18,20.95,4,2012,2
6229,1ID20114,2/4/2012 11:08,18,14.975,4,2012,2
1943,1ID17944,1/1/2012 16:08,15,14.725,1,2012,1
1943,1ID17944,1/1/2012 16:08,66,1.25,1,2012,1
1943,1ID17944,1/1/2012 16:08,10,11.6,1,2012,1
4029,1ID17947,1/1/2012 16:54,17,21.6,1,2012,1
4029,1ID17947,1/1/2012 16:54,11,15.475,1,2012,1
5323,1ID17949,1/1/2012 18:01,37,20.95,1,2012,1
5323,1ID17949,1/1/2012 18:01,4,25.7,1,2012,1
5324,1ID17950,1/1/2012 18:23,15,14.725,1,2012,1
5324,1ID17950,1/1/2012 18:23,33,19.975,1,2012,1
5324,1ID17950,1/1/2012 18:23,4,19.725,1,2012,1
5324,1ID17950,1/1/2012 18:23,16,19.725,1,2012,1
5324,1ID17950,1/1/2012 18:23,23,14.725,1,2012,1
5328,1ID17962,2/1/2012 11:41,21,14.725,1,2012,1
